X,Y,OBJECTID,TOILET_NAME,ADDRESS,POSTCODE,WARD,OPENING,MALE,URINALS,FEMALE,UNISEX,ACCESS1,ACC_INFO,CHANGINGPLACE,AUTO_OPEN,PULL_CORD,RADAR,BABYCHANGE,FAMILYTOILET,AUTOLOO,ATTENDED,FULLTIMESTAFF
357044.4667,170704.6592,258,Salisburys Ashton,J Sainsbury Winterstoke Road Bristol,BS3 2NS,Bedminster,"Monday-Saturday 07:00-22:00, Sunday 10:00-16:00.",2,2,3,2,1,"YES - Door width 90cm, Cubical size 229x229cm. Seat height: 48cm. Handrails",N,N,Yes - during opening times,N,Y,N,N,Y,Y
359218.005,175940.293,261,Better Food Company,"278 Gloucester Road, Bishopston, Bristol",BS7 8PB,Bishopston & Ashley Down,Mon-Sat 08:00 to 20:00 Sunday 10:00 to 18:00,0,0,0,1,0,N/A,No,No,N/A,No,Yes,No,No,No,No
358847,174710,262,Bishops Tavern,225 - 231 Cheltenham Road Bristol,BS6 5QP,Redland,Mon -Sun 11:00 to 23:00,2,0,3,0,1,"Door less than 1 metre, 270 x 120 cubicle, seat height 47cm, movable support rails by hand basin and toilet, no locking lugs on seat, mirror, colour-c",No,No,Yes - during opening times,No,1,No,Yes,No,Yes
359219.393,175872.188999999,271,Boston Tea Party,293 Gloucester Road Horfield Bristol,BS7 8PE,Bishopston & Ashley Down,Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00,2,3,3,0,1,"Door width 89cm, height of seat 47cm ",No,No,Yes - during opening times,<Null>,Yes,No,<Null>,<Null>,<Null>
358138,173082,272,Boston Tea Party,75 Park Street City Centre Bristol,BS1 5PF,Hotwells & Harbourside,Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00,0,0,0,3,0,N/A,No,No,N/A,No,1,No,No,No,<Null>
357508.249,171563.228,273,Coffee#1 Bedminster,247 - 249 North Street Bedminster Bristol,BS3 1JN,Southville,Monday to Friday 07:00 to 18:00 Saturday 08:00 to 18:00 Sunday 08:30 to 17:00,0,0,0,1,1,"Door less than 1 metre, 230 x 150 cubicle, seat height 50cm, movable support rails by toilet and basin, no locking lugs on seat, miroor, no colour con",No,No,Yes - during opening times,No,Yes,No,No,Yes,Yes
356977,173004,274,Coffee#1 Clifton,33 Princess Victoria Street,BS8 4BX,Clifton,Monday to Saturday 07:30 to 18:00 Sunday 09:00 to 17:00,0,0,0,1,0,N/A,No,No,N/A,No,Yes,No,No,No,Yes
363382.562,175853.74,275,Coffee#1 Fishponds,784A Fishponds Road Fishponds Bristol,BS16 3TT,Frome Vale,Monday to Saturday 07:30to 18:00 Sunday 09:00 to 17:00,0,0,0,1,1,"Door over 1 metre, 200 x 180 cubicle, seat height 49cm, support rails by hand basin and toilet not movable, no locking lugs on seat, mirror, no colour",Yes,Yes,Yes - during opening times,Yes,1,Yes,Yes,Yes,<Null>
357167,173094,276,East Village Cafe,Arch House Boyce's Avenue Bristol,BS8 4AA,Clifton,Monday to Friday 10:00 to 16:30 Saturday 10:00 to 17:00 Sunday 10:00 to 16:30,0,0,0,1,1,"Door less than 1 metre, 200 x 130 cubicle, seat height 50cm, support rails by hand basin and toilet  are not movable, no no locking lugs on seat, no m",No,No,Yes - during opening times,No,Yes,No,No,No,No
358892,174770,277,Future Leap ,1 - 3 Gloucester Road Bishopston Bristol,BS7 8AA,Ashley,Monday to Friday 09:00-16:00 Saturday & Sunday 10:00-16:00,0,0,0,2,0,N/A,No,No,N/A,No,0,No,Yes,No,<Null>
358856.473,172445.673,278,Hole in the Wall ,The Hole In The Wall 2 The Grove Bristol,BS1 4QZ,Central,"Monday to Saturday 12:00-23:00, Sunday 12:00 to 22:00",1,4,2,0,1,"Door over 1 metre, 200 x 100 cubicle, seat height 70cm, support rails by toilet only not movable, no locking lugs on seat, mirror, no colour contrasti",No,Yes - during opening times,Yes,No,1,Yes,No,Yes,<Null>
359038.74,175141.413000001,279,Industry Bar and Kitchen,141 Gloucester Road Bishopston Bristol,BS7 8BA,Ashley,"Monday CLOSED, Tuesday to Friday 16:00-23:00, Saturday 12:00-00:00, Sunday 12:00-21:00",3,2,2,0,0,N/A,No,N/A,<Null>,No,2,No,No,Yes,<Null>
363146,175663,280,Morrisons,692 - 716 Fishponds Road Fishponds Bristol,BS16 3US,Frome Vale,"Monday to Saturday 07:00-22:00, Sunday 10:00-16:00",3,0,3,0,1,"Door over 1 metre, 180 x 180 cubicle, seat heght 49cm, support rails by toilet and hand basin not movavle, no locking  lugs on seat, mirror, colour-co",No,No,Yes - during opening times,Yes,1,No,Yes,Yes,<Null>
357825,173891,281,Bakesmiths ,"65 Whiteladies Road, Redland, Bristol",BS8 2LY,Clifton Down,"Monday to Friday 07:00-17:00, Saturday & Sunday 08:00-17:00",1,3,2,0,0,N/A,No,No,N/A,No,1,No,Yes,No,
357484.046,174507.046,282,Boston Tea Party,"St Johns Court, Whiteladies Road, Clifton, Bristol",BS8 2QY,Clifton Down,Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00,2,2,3,0,1,"Door over 1 metre, 200 x 300 cubicle, seat height 50 cm, movable hand rails by hand basin and toilet, no locking lugs, mirror, colour-contrasting skir",No,No,Yes - during opening times,No,1,No,Yes,No,
359106.072,174231.238,283,Boston Tea Party ,"156 Cheltenham Road, Cotham, Bristol",BS6 5RL,Ashley,Monday to Saturday 08:00 to 17:00 Sunday 09:00 to 17:00,0,0,0,3,1,"Door over 1 metre, 210 x 150 cubicle, seight height 49cm, no locking lugs, no mirror, no colour-contrasting skirting, non-reflective wall and floor, n",No,No,Yes - during opening times,No,1,No,Yes,No,
358339,171631,284,Bristol South Swimming Pool,"Dean Lane, Southville, Bristol",BS3 1BS,Southville,"Monday 07:30-20:00, Tuesday 07:30-19:00, Wednesday 07:30-20:00, Thursday 07:30-20:15, Friday 07:30-18:00, Saturday & Sunday 08:00-15:45",1,0,1,0,1,"Door over 1 metre, 300 x 300 cubicle, seat height 48cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, colour-contrastin",No,No,Yes - during opening times,No,1,No,Yes,No,
358995.5384,175205.792400001,285,Cider Press,"86-90 Gloucester Road, Bishopston, Bristol",BS7 8BN,Redland,"Monday to Saturday 11:00-23:00, Sunday 12:00-22:00",3,5,7,0,1,"Door over 1 metre, 150 x 180 cubicle, seat height 47cm , hand rails by toilet and hand basin movable, no lovking lugs, mirror, no colour-contrasting s",No,No,Yes - during opening times,No,1,No,Yes,No,
360220,173584,286,Easton Leisure Centre,"Thrissell Street, Easton, Bristol",BS5 0SW,Lawrence Hill,"Monday tto Friday 06:30-22:30, Saturday 07:30-20:00, Sunday 07:30-21:00",1,3,4,0,1,"Door over 1 metre, 300 x 240 cubicle, seat height 50cm, movable support rails by hand basin and toilet, no locking lugs, mirror, colour-contrasting sk",No,Yes,Yes - during opening times,No,1,No,Yes,No,
359329.407,169795.223999999,287,Filwood Community Centre,"Barnstaple Road, Bristol",BS4 1JP,Filwood,"Monday to Friday 09:00-17:00, CLOSED WEEKENDS",1,4,2,0,1,"Door less than 1 metre, 210 x 310 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, mirror, colour-contrast",No,No,Yes - during opening times,Yes,1,No,Yes,Yes,
363668.932,173762.418,288,First Choice Cafe ,"102-104 Two Mile Hill Road, Bristol",BS15 1BJ,St George Central,"Monday to Saturday 07:30-14:00, Sunday 08:30-13:00",1,1,1,0,0,N/A,No,No,N/A,No,0,No,Yes,No,
356194.523,179126.441,289,Henbury Leisure Centre,"Avonmouth Way, Henbury, Bristol",BS10 7NG,Henbury & Brentry,"Monday to Friday 06:30-22:00, Saturday & Sunday 08:00-16:00",1,1,2,0,1,"Door over 1 metre, 350 x 165 cubicle, seat height 46cm, support rails by hand basin and toilet movable, seat has locking lugs, mirror, no colour-contr",No,No,Yes - during opening times,No,1,No,Yes,Yes,
361196.184,169840.068700001,290,Imperial Sports Ground,"West Town Lane, Brislington, Bristol ",BS14 9EA,Stockwood,"Monday to Saturday 10:00-23:00, Sunday 10:00-19:00",7,8,7,0,4,"Door less than 1 metre, 230 x 150 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, mirror, olour-conttrast",No,No,Yes - during opening times,Yes,3,No,Yes,No,
358514.032,173875.335000001,291,Kingsdown Sports Centre,"Portland Street, Bristol",BS2 8HL,Cotham,"Monday to Friday 07:00-22:00, Saturday 08:00-18:00, Sunday 09:00-22:00",1,1,4,0,1,"Door over 1 metre, 400 x 155 cubicle, seat height 49cm, hand rials by toilet and hand basin not movable, no locking lugs, mirror, colour-contrasting s",No,No,Yes - during opening times,No,1,No,No,No,
358166.521,171175.468,292,Mezzaluna,"81 West Street, Bedminster, Bristol ",BS3 3NU,Bedminster,"Monday 11:00-22:00, Tuesday to Saturday 11:00-23:00, Sunday 11:00-21:00",0,0,0,2,1,"Door over 1 metre, 175 x 175 cubicle, seat height 47cm, hand rails by toilet and hand basin movable,  no locking lugs, mirror, no colour-contrasting s",No,No,Yes - during opening times,No,1,No,Yes,No,
363969,174715,293,Pizzeria Milano ,"266 Charlton Road, Bristol",BS15 1LS,Hillfields,Monday to Sunday 14:00-22:00,0,0,0,1,0,N/A,No,No,N/A,No,0,No,Yes,No,
358897.209,172632.005000001,294,Spicer + Cole,"1 Queen Square Avenue, Bristol ",BS1 4JA,Central,"Monday to Friday 08:00-16:00, Saturday & Sunday 09:00-16:00",0,0,0,1,0,N/A,No,No,N/A,No,1,No,No,No,
358856.013,172992.154999999,295,St Nicholas Market ,"The Corn Exchange, Corn Street, Bristol",BS1 1JQ,Central,Monday to Sunday 09:30-17:00,2,4,2,0,0,N/A,No,No,N/A,No,0,No,Yes,No,
358640,173811,296,The Kingsdown Vaults ,"29-31 Kingsdown Parade, Bristol",BS6 5UE,Cotham,"Monday to Friday 16:00-00:00, Friday 12:00-00:00, Saturday 16:00-00:00, Sunday 16:00-22:30",1,1,1,0,0,N/A,No,No,N/A,No,0,No,Yes,No,
358829,171248,297,The Rising Sun ,"Alfred Road, Bedminster, Bristol",BS3 4LE,Windmill Hill,"Monday to Thursday 16:00-23:00, Friday & Saturday 13:00-23:00, Sunday 13:00-22:00",0,0,0,2,0,N/A,No,No,N/A,No,1,No,Yes,No,
359633.724,171544.418,299,The Star and Dove ,"75-78 St Luke's Road, TotteRoadown, Bristol ",BS3 4RY,Windmill Hill,"Monday & Tuesday CLOSED, Wednesday to Saturday 12:00-23:00, Sunday 12:00-17:00",1,3,1,0,1,"Door over 1 metre, 200 x 150 cubicle, seat height 50cm, no hand rails, seat has locking lugs, mirror, no colour-contrasting skirting, wall and floor a",No,No,Yes - during opening times,No,0,No,Yes,No,
361200.311,168425.709000001,300,The Yeoman,"700 Wells Road, Whitchurch, Bristol",BS14 9HX,Stockwood,"Monday to Thursday 12:00-23:00, Friday & Saturday 12:00-00:00, Sunday 12:00-23:00",3,4,3,0,1,"Door less than 1 metre, 220 x 150 cubicle, seat height 40cm, hand rails by toilet and hand basin not movable, no locking lugs, no mirror, colour-contr",No,No,Yes - during opening times,Yes,1,No,Yes,No,
357834,173418,301,Royal West Of England Academy Art Gallery,Queens Road Clifton Bristol,BS8 1PX,Central,"Mondays CLOSED, Tuesday to Sunday 10:00-17:00",2,3,3,1,2,"Door over 1 metre, 230 x 150, seat height 50cm, support rails by hand basin and toilet are movable, no locking lugs on seat, mirror, colour-contrastin",Yes,No,Yes - during opening times,Yes,2,No,Yes,No,<Null>
357057.837,173034.704,302,Spicer + Cole Clifton ,9 Princess Victoria Street Bristol,BS8 4BX,Clifton,"Monday to Friday 09:00-17:00,  Saturday & Sunday 8:30-17:00",0,0,0,2,0,N/A,No,No,N/A,No,1,No,No,No,<Null>
357623.092,174131.073000001,303,Steam,Steam Clifton Down Station Whiteladies Gate Bristol,BS8 2PN,Clifton Down,"Monday to Wednesday 15:00-23:00, Thursday & Friday 15:00-00:00, Saturday 12:00-00:00, Sunday 13:00-22:00",3,2,8,0,0,N/A,No,No,N/A,No,No,No,No,No,<Null>
358908.126,174878.342,304,The Blue Lagoon ,118 - 20 Gloucester Road Bishopston Bristol,BS7 8AE,Redland,"Monday to Thursday 08:30-00:00, Friday 08:30-01:30, Saturday 08:00-01:30, Sunday 09:00-00:00",2,1,3,0,0,N/A,No,No,N/A,No,0,No,No,Yes,<Null>
358998.705,175244.517000001,305,The Bristol Flyer,96 Gloucester Road Bishopston Bristol,BS7 8BN,Redland,"Monday to Thursday 12:00-23:00, Friday & Saturday 12:00-00:00, Sunday 12:00-22:00",2,5,3,0,1,"Door over 1 metre, 180 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet are movable,  seat does not have locking lugs, mirror, ",No,Yes,Yes - during opening times,Yes,1,No,Yes,No,<Null>
357576,171546,306,The Burger Joint,240 North Street Bedminster Bristol,BS3 1JD,Southville,"Monday to Thursday 12:00-22:00, Friday & Saturday 12:00-22:30, Sunday 12:00-22:00",0,0,0,2,1,"Door less than 1 metre, 190 x 130 cubicle, seat height 40cm, no support rails, seat does not have locking lugs, mirror, colour-contrasting skirting, n",No,No,No,No,1,No,Yes,No,<Null>
363363.569,175828.043,307,The Crafty Egg Fishponds,780 Fishponds Road Fishponds Bristol,BS16 3TT,Frome Vale,"Monday to Thursday 08:30-23:00, Friday 8:30-00:00, Saturday 09:00-00:00, Sunday 09:00-23:00",2,6,3,0,1,"Door less than 1 metre, 175 x 150 cubicle, seat height 48cm, support rails by hand basin and toilet are movable, seat does not have locking lugs, mirr",No,No,Yes - during opening times,No,1,No,Yes,No,<Null>
361803,173537,308,The Fire Engine,188 Church Road Redfield Bristol,BS5 9HX,St George West,Monday to Sunday 11:00-21:00,1,3,1,0,2,"Door less than 1 metre, 150 x 95 cubicle, no support rails, seat height 44cm, seat has locking lugs, mirror, colour-contrasting skirting, wall and flo",No,No,No,No,0,No,No,No,<Null>
359065.27,173662.503,309,The Full Moon Backpacker Hotel And Attic Bar,North Street City Centre Bristol,BS1 3PR,Ashley,"Monday to Thursday 12:00-00:00, Friday 12:00-02:00, Saturday 12:00-00:00, Sunday 12:00-22:30",3,2,6,0,1,"Door over 1 metre, 180 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet not movable, no locking lugs, no mirror, no colour-cont",No,No,Yes - during opening times,Yes,0,No,No,No,<Null>
358920,174917,310,The Gallimaurfry ,26 Gloucester Road Bishopston Bristol,BS7 8AE,Redland,"Monday to Saturday 11L00-23:30, Sunday 12:00-23:30",1,2,2,0,0,N/A,No,No,N/A,No,1,No,No,No,<Null>
357634.157,175906.575999999,311,The Westbury Park Pub and Kitchen,Northumbria Drive Bristol,BS9 4HP,Westbury-on-Trym & Henleaze,Monday to Sunday 11:00-23:00,2,4,3,0,1,"Door over 1 metre, 120 x 180 cubiicle, seat height 47cm, support rails by hand basin and toilet are movable, no locking lugs, mirror, colour-contrasti",No,Yes,Yes - during opening times,No,1,No,Yes,No,<Null>
357244.055,177529.005000001,312,The White Lion,"Passage Road, Bristol",BS9 3HN,Westbury-on-Trym & Henleaze,Monday to Sunday 11:00-23:00,2,3,3,0,1,"Door over 1 metre, 150 x 180 cubicle, seat height 47cm, support rails by hand basin and toilet are movable, no locking lugs, mirror, colour-contrastin",Yes,No,Yes - during opening times,No,1,No,Yes,No,<Null>
357885.477,173371.115,313,Two Ways Caffe Bar,10 Queens Avenue Bristol,BS8 1SB,Central,"Monday to Friday 08:00 -16:30, Saturday 11:00-16:30, CLOSED SUNDAY",0,0,0,1,0,N/A,No,No,N/A,No,0,No,Yes,No,<Null>
357546,171527,314,The Lounge,"227-231 North Street, Bedminster, Bristol",BS3 1JJ,Southville,Monday to Sunday 09:00-23:00,1,1,2,0,1,"Door less than 1 metre, 200 x 100 cubicle, seat height 49cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, no colour-co",No,No,No,No,1,No,Yes,No,<Null>
363393.162,175883.713,315,The Old Post Office Pub,The Old Post Office Fishponds Road Fishponds Bristol,BS16 3TT,Frome Vale,"Monday to Thursday 10:00-23:00, Friday & Saturday 10:00-00:00, Sunday 12:00-22:30",2,5,4,0,1,"Door over 1 metre, 180 x 150 cubicle, seat height 48cm, support rails by hand basin and toilet not movable, no locking lugs, mirror, no colour-contras",No,No,Yes - during opening times,Yes,1,Yes,Yes,No,<Null>
361320.827,173457.956,316,The Old Stillage,The Old Stillage Church Road Redfield Bristol,BS5 9LA,Easton,"Monday 14:00-23:00, Tuesday & Wednesday 14:00-23:30, Thursday 14:00-00:30, Friday & Saturday 14:00-01:30, Sunday 12:30-23:30",1,3,1,0,1,"Door over 1 metre, 200 x 18- cubicle, seat height 45 cm, support rails by hand basin and toilet are movable, seat has locking lugs, mirror, colour-con",No,No,Yes - during opening times,No,1,No,No,No,<Null>
360079.264,173389.552999999,317,The Trinity Centre ,The Trinity Centre Trinity Road Bristol,BS2 0NW,Lawrence Hill,<Null>,2,3,8,3,2,<Null>,Yes,No,Yes,No,1,No,No,Yes,<Null>
357145.216,172184.331700001,318,Underfall Yard - Near Cafe,,BS1 6XG,Hotwells & Harbourside,,,,,2,1,Open Access,,,,,,,,,
359024.5614,175224.971799999,319,Nectar House,169 Gloucester Road Bishopston Bristol,BS7 8BE,Ashley,,,,,1,1,,,,,,,,,,
359778.512,173866.829700001,320,St Pauls Community Sports Academy, St Pauls Community Sports Academy Newfoundland Road Bristol,BS2 9NH,Ashley,,,,,1,1,,,,,,,,,,
360533.9219,174253.8281,321,Tasty Corner Cafe,"3 Oxford Pl, Easton, Bristol",BS5 ONR,Lawrence Hill,,0,0,0,1,0,,,,0,,,,,Y,Y
359197.6833,174098.851500001,322,The Salvation Army Bristol Citadel,6 Ashley Road,BS6 5NL,Ashley,10:00 to 13:00 Mon to Fri,0,0,,4,1,,,N,Y,N,Y,Y,Y,Y,Y
358622.0989,173316.497500001,323,CJ Coffee House and Deli,14 Upper Maudlin Street,BS2 8DJ,Central,Mon to Thursday 07:00 to16:00 Friday 07:00 to15:00 Sat 09:00 to14:00 Sunday closed,2,1,2,0,0,0,,N,N,N,N,N,N,Y,Y
358890.8333,172485.9038,324,Coffee no 1 Welsh Back,51 Welsh Back,BS1 4AN,Central,Monday to Friday 07:00 to 18:00 Saturday 08:00 to 18:00 Sunday 08:30 to 17:00,1,1,2,0,1,,Y,N,Y,N,Y,Y,N,Y,Y
359913.7083,173272.711100001,325,Old Market Cafe,39 West Street,BS2 0BZ,Lawrence Hill,Monday to Saturday 08:00 to 15:00 Sunday closed,1,0,1,0,2,,Y,N,N,N,Y,N,N,Y,Y
358117.2608,173114.3726,721,Pinkmans Bakery,85 Park Street,BS1 5PJ,Hotwells & Harbourside,6Monday to Friday 08:00 to 16:00 Saturday 08:00  to  17:00 Sunday 09:00 to 17:00 unday,1,1,1,0,0,0,N,N,N,N,N,N,N,Y,Y
360722.6855,177743.056600001,722,Lockleaze Sports Centre,"Bonnington Walk, Lockleaze",BS7 9XF,Lockleaze,Monday to Friday 12:00 to 22:00 Saturday 08:30 to18:00 Sunday 09:30 to 18:00,0,0,0,1,1,,Y,N,Yes,N,Y,Y,N,Y,Y
361147.2317,174480.022500001,723,Este kitchen,7 Greenbank Road,BS5 6EZ,Easton,Monday to Saturday 09:00 to 16:00 Sunday 08:30 to 15:00,1,0,1,0,0,0,N,N,0,N,N,N,N,Y,Y
359021.0781,175203.3281,724,La Fiorentina,161 Gloucester Rd,BS7 8PE,Ashley,Monday to Saturday 11:00 to 23:00 Sunday12:00 to 21:00,1,1,1,0,0,0,N,N,N,N,N,N,N,Y,Y
359600.9246,173121.428099999,725,The Exchange,72/73 Old Market,BS2 0EJ,Lawrence Hill,12:00 to 18:00,0,0,0,8,1,,N,N,N,Y,Y,N,N,N,Y
359133.3708,173519.9921,726,Art Club,"12-16 Bond St, Broadmead, Bristol",BS1 3LU,Central,Monday to Friday 07:00 to 17:00 Saturday 08:00 to 17:00 Sunday 12:00 to 16:30,0,0,0,2,0,0,N,N,N,N,N,N,N,Y,Y
359209.9163,175911.0913,727,The Hide Out,"272 Gloucester Rd, Horfield, Bristol",BS7 8PB,Bishopston & Ashley Down,Monday to Thursday 08:00 to 16:00 Friday and Saturdays 10:00 to 12:00 Sunday 09:00 to 17:00,1,1,1,1,,1,N,N,N,N,N,N,N,Y,Y
359196.682,175842.6226,728,Pizzarova,"289 Gloucester Road,",BS7 8NY,Bishopston & Ashley Down,Monday to Sunday 17:00 to 21:00,0,0,0,1,1,,N,N,Y,N,Y,N,Y,N,N
363663.521,176406.4145,1127,Vassall Centre,"Gill Avenue, Fishponds",BS16 2QQ,Frome Vale,08:00 to 17:00 Monday to Friday,7,6,12,7,7,,Y,Y,Y during opening hours,N,Y,N,N,N,Y
358026.333,171304.021600001,1527,acta centre,Gladstone Street,BS3 3AY,Bedminster,,1,1,1,1,1,,Y,N,Y,N,N,,Y,N,
357679.7971,171452.1644,1927,Zaras Chocolates,"200 North St, Southville,",BS3 1JF,Southville,Monday to Saturday  09:00 to 17:00,0,0,0,1,0,0,N,N,N,N,N,N,N,N,N
358332.29,171487.8445,1928,London Inn,1 Cannon Street,BS3 1BH,Bedminster,12:00 noon to 22:00 Daily,1,2,1,0,0,0,,N,n,N,N,N,N,N,Y
357842.4621,171407.6567,1929,Spotted Cow,139 North Street,BS3 1EZ,Bedminster,12:30 PM to 11:00 PM Daily,2,3,2,1,1,,Y,N,N,Y,Y,,Y,N,Y
358266.8492,171559.8255,2327,Trylla,8 North Street,BS3 1HT,Southville,Wed-Fri 12:00 to 18:00,1,0,1,1,none,,N,N,N,N,N,N,N,Y,Y
358209.9377,171540.684900001,2328,Nook,24 North Street,BS3 1HW,Southville,08:00 to 16:00,0,0,0,1,y,,Y,N,N,,,Y,,N,
357467.2088,171618.5878,2329,Sezz Mezze Cafe/Restaurant,273 North Street,BS3 1JN,Southville,"Mon to Thur 9:00 to 15:00, Fri and Sat 11:00 to 21:00 Sun 10:00 to 15:00",0,0,0,1,Y,,,N,N,N,N,,N,N,Y
358186.0603,171234.753799999,2727,The Jolly Colliers,57 West Street,BS3 3NU,Bedminster,"Mon-Thurs 14:00 to 23:00, Friday 14:00 to 12:00 Saturday 12:00 to 24:00 Sunday 12:00 to 21:00",1,1,1,0,0,,N,N,N,N,N,N,N,N,Y
